chr,pos,strand,mc_count,total
chr1,3003885,*,1,1
chr1,3020877,*,1,1
chr1,3020891,*,1,1
chr1,3020945,*,1,1
chr1,3020971,*,1,1
chr1,3020987,*,1,1
chr1,3026187,*,1,1
chr1,3055095,*,1,1
chr1,3055149,*,1,1
chr1,3067001,*,1,1
chr1,3067497,*,1,1
chr1,3069892,*,0,2
chr1,3074989,*,0,2
chr1,3078267,*,1,1
chr1,3078330,*,1,1
chr1,3079409,*,1,1
chr1,3084771,*,1,1
chr1,3084835,*,1,1
chr1,3089588,*,1,1
chr1,3089635,*,1,1
chr1,3091347,*,1,1
chr1,3093446,*,1,1
chr1,3094063,*,0,1
chr1,3111332,*,1,1
chr1,3118019,*,1,1
chr1,3125237,*,2,2
chr1,3126546,*,1,1
chr1,3130280,*,2,2
chr1,3135942,*,1,1
chr1,3135944,*,1,1
chr1,3140320,*,1,1
chr1,3145141,*,2,2
chr1,3153831,*,1,1
chr1,3161743,*,1,1
chr1,3162665,*,1,1
chr1,3166516,*,1,1
chr1,3166566,*,1,1
chr1,3169554,*,1,1
chr1,3172366,*,1,1
chr1,3182614,*,1,1
chr1,3183116,*,1,1
chr1,3189091,*,1,1
chr1,3189303,*,1,1
chr1,3189390,*,1,1
chr1,3192053,*,1,1
chr1,3192060,*,1,1
chr1,3216790,*,1,1
chr1,3216804,*,0,1
chr1,3216825,*,1,1
chr1,3218024,*,1,1
chr1,3219059,*,1,1
chr1,3219090,*,0,1
chr1,3221209,*,0,2
chr1,3221595,*,1,1
chr1,3222187,*,1,1
chr1,3226692,*,1,1
chr1,3243551,*,1,1
chr1,3243562,*,1,1
chr1,3245959,*,1,1
chr1,3251114,*,1,1
chr1,3254738,*,0,1
chr1,3264737,*,1,1
chr1,3264793,*,1,1
chr1,3265499,*,0,1
chr1,3266286,*,1,1
chr1,3266323,*,1,1
chr1,3275277,*,1,1
chr1,3275291,*,1,1
chr1,3275299,*,1,1
chr1,3275345,*,1,1
chr1,3275370,*,1,1
chr1,3277451,*,1,1
chr1,3277478,*,1,1
chr1,3278074,*,1,1
chr1,3302044,*,1,1
chr1,3312533,*,2,2
chr1,3319973,*,1,1
chr1,3319979,*,1,1
chr1,3322143,*,0,1
chr1,3344187,*,2,2
chr1,3351833,*,1,1
chr1,3351929,*,1,1
chr1,3362570,*,1,1
chr1,3362584,*,1,1
chr1,3368665,*,0,1
chr1,3369935,*,1,1
chr1,3369974,*,1,1
chr1,3370298,*,0,1
chr1,3372718,*,1,1
chr1,3379131,*,0,1
chr1,3383191,*,1,1
chr1,3398805,*,1,1
chr1,3398973,*,1,1
chr1,3399050,*,1,1
chr1,3401470,*,1,1
chr1,3401644,*,2,2
chr1,3409004,*,1,1
chr1,3409090,*,1,1
chr1,3416883,*,1,1
chr1,3421816,*,1,1
chr1,3421839,*,1,1
chr1,3421849,*,1,1
chr1,3421975,*,1,1
chr1,3445751,*,0,1
chr1,3446664,*,1,1
chr1,3454555,*,1,1
chr1,3456136,*,0,1
chr1,3462287,*,1,1
chr1,3462318,*,1,1
chr1,3469621,*,1,1
chr1,3475041,*,1,1
chr1,3479673,*,1,1
chr1,3484430,*,1,1
chr1,3484575,*,0,1
chr1,3490428,*,1,1
chr1,3490430,*,1,1
chr1,3490432,*,1,1
chr1,3490434,*,1,1
chr1,3490436,*,1,1
chr1,3490438,*,1,1
chr1,3490440,*,1,1
chr1,3490448,*,1,1
chr1,3496843,*,1,1
chr1,3511156,*,1,1
chr1,3511411,*,1,1
chr1,3519107,*,1,1
chr1,3519379,*,1,1
chr1,3519403,*,1,1
chr1,3519515,*,1,1
chr1,3527271,*,1,1
chr1,3551158,*,0,1
chr1,3552547,*,0,1
chr1,3552602,*,0,1
chr1,3556595,*,1,1
chr1,3556666,*,1,1
chr1,3556669,*,1,1
chr1,3561912,*,4,4
chr1,3574273,*,1,1
chr1,3584919,*,1,1
chr1,3602732,*,1,1
chr1,3602806,*,1,1
chr1,3604142,*,1,1
chr1,3617897,*,1,1
chr1,3617935,*,1,1
chr1,3627146,*,1,1
chr1,3642381,*,1,1
chr1,3645667,*,1,1
chr1,3654325,*,1,1
chr1,3654370,*,1,1
chr1,3654378,*,1,1
chr1,3668345,*,0,1
chr1,3668781,*,0,1
