chr,pos,strand,mc_count,total
chr1,3007430,*,1,1
chr1,3008758,*,1,1
chr1,3008772,*,1,1
chr1,3017887,*,2,2
chr1,3019021,*,1,1
chr1,3019332,*,0,1
chr1,3023075,*,1,1
chr1,3025007,*,1,1
chr1,3033877,*,1,1
chr1,3034027,*,1,1
chr1,3043016,*,1,1
chr1,3043047,*,1,1
chr1,3063482,*,1,1
chr1,3063494,*,1,1
chr1,3065031,*,1,1
chr1,3066471,*,1,1
chr1,3070178,*,1,1
chr1,3075666,*,1,1
chr1,3081995,*,1,1
chr1,3082351,*,1,1
chr1,3082366,*,1,1
chr1,3083506,*,1,1
chr1,3083769,*,1,1
chr1,3090334,*,1,1
chr1,3091711,*,2,2
chr1,3091766,*,2,2
chr1,3094063,*,3,3
chr1,3094116,*,3,3
chr1,3094121,*,2,3
chr1,3094125,*,0,3
chr1,3098147,*,1,1
chr1,3109390,*,1,1
chr1,3109980,*,1,1
chr1,3112402,*,2,2
chr1,3112467,*,2,2
chr1,3128237,*,1,1
chr1,3133414,*,2,2
chr1,3135818,*,1,1
chr1,3138261,*,1,1
chr1,3143138,*,1,1
chr1,3143188,*,1,1
chr1,3143207,*,1,1
chr1,3143231,*,1,1
chr1,3147957,*,3,3
chr1,3148026,*,3,3
chr1,3148058,*,3,3
chr1,3148060,*,3,3
chr1,3149331,*,1,1
chr1,3149930,*,1,1
chr1,3149938,*,1,1
chr1,3150008,*,1,1
chr1,3150022,*,1,1
chr1,3152457,*,0,1
chr1,3160159,*,1,1
chr1,3160973,*,1,1
chr1,3178878,*,1,1
chr1,3183518,*,1,1
chr1,3185502,*,1,1
chr1,3185521,*,1,1
chr1,3185963,*,1,1
chr1,3185972,*,1,1
chr1,3186054,*,1,1
chr1,3188425,*,1,1
chr1,3188444,*,1,1
chr1,3193701,*,1,1
chr1,3193767,*,1,1
chr1,3202298,*,0,1
chr1,3207078,*,2,2
chr1,3207080,*,2,2
chr1,3208647,*,1,1
chr1,3208654,*,1,1
chr1,3216209,*,1,1
chr1,3216218,*,1,1
chr1,3216278,*,1,1
