chr,pos,strand,mc_count,total
chr1,3016106,*,1,1
chr1,3017736,*,0,2
chr1,3017887,*,1,1
chr1,3025007,*,1,1
chr1,3030034,*,1,1
chr1,3051592,*,0,1
chr1,3061151,*,2,2
chr1,3075666,*,3,3
chr1,3081615,*,1,1
chr1,3081625,*,1,1
chr1,3088643,*,1,1
chr1,3094157,*,1,1
chr1,3094186,*,1,1
chr1,3096105,*,1,1
chr1,3107265,*,1,1
chr1,3111882,*,1,1
chr1,3114936,*,2,2
chr1,3117048,*,1,1
chr1,3117711,*,1,1
chr1,3121777,*,1,1
chr1,3121820,*,0,1
chr1,3121849,*,0,1
chr1,3121855,*,1,1
chr1,3121861,*,1,1
chr1,3121873,*,1,1
chr1,3131520,*,3,3
chr1,3147636,*,1,1
chr1,3147669,*,0,1
chr1,3150047,*,1,1
chr1,3150057,*,1,1
chr1,3150068,*,1,1
chr1,3150122,*,1,1
chr1,3155322,*,1,1
chr1,3155401,*,1,1
chr1,3156062,*,1,1
chr1,3156094,*,1,1
chr1,3166516,*,1,1
chr1,3188425,*,1,1
chr1,3188444,*,1,1
chr1,3189390,*,3,3
chr1,3191475,*,1,1
chr1,3191500,*,1,1
chr1,3204862,*,0,1
chr1,3208647,*,1,1
chr1,3208654,*,1,1
chr1,3229677,*,6,6
chr1,3229709,*,6,6
chr1,3230019,*,2,2
chr1,3245959,*,1,1
chr1,3248665,*,1,1
chr1,3248704,*,0,1
chr1,3252997,*,1,1
chr1,3258470,*,1,1
chr1,3261799,*,1,1
chr1,3276898,*,1,1
chr1,3276904,*,1,1
chr1,3285708,*,0,1
chr1,3309857,*,0,2
chr1,3311373,*,1,1
chr1,3311382,*,1,1
chr1,3311426,*,1,1
chr1,3313091,*,0,1
chr1,3323807,*,1,1
chr1,3332514,*,1,1
chr1,3339507,*,1,1
chr1,3339529,*,2,2
chr1,3366922,*,0,1
chr1,3369935,*,1,1
chr1,3369974,*,1,1
chr1,3374238,*,1,1
chr1,3400240,*,0,1
chr1,3400259,*,0,1
chr1,3412194,*,1,1
chr1,3416883,*,1,1
chr1,3437605,*,1,1
chr1,3446166,*,1,1
chr1,3446188,*,1,1
chr1,3446195,*,1,1
chr1,3446220,*,1,1
chr1,3447972,*,2,2
chr1,3447986,*,2,2
chr1,3448008,*,2,2
chr1,3476425,*,3,3
chr1,3485693,*,1,1
chr1,3496843,*,1,1
chr1,3510592,*,2,2
chr1,3510623,*,0,2
chr1,3510677,*,1,1
chr1,3531760,*,1,1
chr1,3531764,*,1,1
chr1,3531770,*,1,1
chr1,3531778,*,1,1
chr1,3531784,*,1,1
chr1,3531787,*,1,1
chr1,3531802,*,1,1
chr1,3531813,*,1,1
chr1,3531831,*,1,1
chr1,3531836,*,1,1
chr1,3531839,*,1,1
chr1,3531842,*,1,1
