chr,pos,strand,mc_count,total
chr1,3012096,*,2,2
chr1,3020332,*,1,1
chr1,3021720,*,1,1
chr1,3027398,*,3,3
chr1,3029094,*,1,1
chr1,3029105,*,1,1
chr1,3041159,*,1,1
chr1,3041186,*,1,1
chr1,3041193,*,1,1
chr1,3041237,*,1,1
chr1,3065265,*,5,5
chr1,3075666,*,2,2
chr1,3079948,*,2,2
chr1,3086578,*,1,1
chr1,3086998,*,3,3
chr1,3105986,*,1,1
chr1,3111882,*,1,1
chr1,3115551,*,1,1
chr1,3117711,*,0,1
chr1,3118482,*,1,1
chr1,3119952,*,0,3
chr1,3133895,*,1,1
chr1,3140133,*,1,1
chr1,3143600,*,1,1
chr1,3143620,*,1,1
chr1,3143633,*,0,1
chr1,3147914,*,1,1
chr1,3147957,*,2,2
chr1,3148166,*,1,1
chr1,3171620,*,1,1
chr1,3171681,*,1,1
chr1,3173498,*,1,1
chr1,3177036,*,1,1
chr1,3184767,*,2,2
chr1,3188425,*,1,1
chr1,3188444,*,1,1
chr1,3196918,*,1,1
chr1,3198426,*,2,2
chr1,3216278,*,1,1
chr1,3216299,*,1,1
chr1,3216317,*,1,1
chr1,3216614,*,1,1
chr1,3216893,*,1,1
chr1,3216902,*,1,1
chr1,3217169,*,1,1
chr1,3220987,*,1,1
chr1,3221314,*,1,1
chr1,3224372,*,1,1
chr1,3225838,*,1,1
chr1,3228140,*,1,1
chr1,3230148,*,0,2
chr1,3230411,*,1,1
chr1,3230452,*,1,1
chr1,3233129,*,1,1
chr1,3233259,*,1,1
chr1,3233309,*,1,1
chr1,3241896,*,1,1
chr1,3241924,*,1,1
chr1,3251564,*,2,2
chr1,3264737,*,1,1
chr1,3275691,*,1,1
chr1,3275696,*,1,1
chr1,3280381,*,2,2
chr1,3280398,*,2,2
chr1,3280403,*,2,2
chr1,3280414,*,2,2
chr1,3280425,*,2,2
chr1,3280429,*,2,2
chr1,3282190,*,1,1
chr1,3290042,*,1,1
chr1,3290068,*,1,1
chr1,3291059,*,1,1
chr1,3291115,*,1,1
chr1,3300672,*,2,2
chr1,3300686,*,0,2
chr1,3300703,*,2,2
chr1,3302284,*,2,2
chr1,3302295,*,2,2
chr1,3302305,*,2,2
chr1,3302343,*,4,4
chr1,3302387,*,4,4
chr1,3311787,*,2,2
chr1,3312887,*,0,1
chr1,3317176,*,2,2
chr1,3318366,*,0,1
chr1,3320135,*,1,1
chr1,3321028,*,2,2
chr1,3321368,*,1,1
chr1,3336593,*,1,1
chr1,3337273,*,1,1
chr1,3343547,*,1,1
chr1,3343905,*,0,1
chr1,3343919,*,1,1
chr1,3345267,*,2,2
chr1,3345295,*,2,2
chr1,3345301,*,2,2
chr1,3351929,*,1,1
chr1,3360985,*,3,3
chr1,3363399,*,1,1
chr1,3366417,*,0,1
